name-of-company,name-of-job,location,salary,date,application-link
Relativity Space Intern Job Board,Test Engineer Intern - Electrical and Software [Long Beach] - Summer 2024,Long Beach CA,$28.00 - $36.00 Per Hour (Employer est.),19d,https://www.glassdoor.com/partner/jobListing.htm?pos=208&ao=1136043&s=58&guid=0000018a9137609ba77ca6304d4cfae0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_789f59da&cb=1694653446448&jobListingId=1008832698767&jrtk=5-yul1-3-1ha8jeu7tiqsg801-1ha8jeo7dj4rj804
Forward Slope Inc.,Software Engineering Intern,San Diego CA,$20.00 - $25.00 Per Hour (Employer est.),1d,
Broadata Communications,Part Time Intern in Embedded Software Engineering,Torrance CA,$20.00 - $24.00 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=224&ao=1136043&s=58&guid=0000018a9137609ba77ca6304d4cfae0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c3694cc4&cb=1694653458974&jobListingId=1008654832170&jrtk=5-yul1-3-1ha8jfaeei45c801-1ha8jeo7dj4rj804
Advanced Sterilization Products,Software Engineering Intern,Irvine CA,$56K - $105K (Employer est.),19d,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=0000018a913818ee9f266c46b6195078&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a38945ce&cb=1694653498831&jobListingId=1008834111497&jrtk=5-yul1-3-1ha8jghc7ikqp801-1ha8jg693jgbq800
DoorDash,Software Engineer Intern (Summer 2024),Los Angeles CA,,26d,https://www.glassdoor.com/partner/jobListing.htm?pos=324&ao=1136043&s=58&guid=0000018a9137b97e9ec27978bf5feb72&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f30c3094&cb=1694653479677&jobListingId=1008820206253&jrtk=5-yul1-3-1ha8jfulgk7dj801-1ha8jfedhjqts800
The Trade Desk,2024 Software Engineering Intern - North America,Irvine CA,$124K - $187K (Glassdoor est.),22d,https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=1136043&s=58&guid=0000018a913818ee9f266c46b6195078&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0fe06ace&cb=1694653510976&jobListingId=1008827805428&jrtk=5-yul1-3-1ha8jgt7ojqsi801-1ha8jg693jgbq800
Relativity Space Intern Job Board,Software Engineer Intern-Summer 2024,Long Beach CA,$28.00 - $36.00 Per Hour (Employer est.),20d,https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=1136043&s=58&guid=0000018a9136ec03a38b22f8f3620db6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_44120c72&cb=1694653429732&jobListingId=1008832289017&jrtk=5-yul1-3-1ha8jedt1je33801-1ha8jdr1qk7ab800
Relaymile,Frontend Software Engineer Internship,Los Angeles CA,$98K - $158K (Glassdoor est.),30d+,
ESRI Inc.,ArcGIS Software Products Internships,Redlands CA,$30.00 - $35.50 Per Hour (Employer est.),12d,https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=1136043&s=58&guid=0000018a913818ee9f266c46b6195078&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7023e245&cb=1694653515407&jobListingId=1008847614962&jrtk=5-yul1-3-1ha8jh1h9jg9h801-1ha8jg693jgbq800
Futronics (NA) Corporation,Software Engineering Intern,Pasadena CA,$71K - $107K (Glassdoor est.),30d+,
ESRI Inc.,Information Technology - Application Developer Internships,Redlands CA,$30.00 - $34.00 Per Hour (Employer est.),8d,https://www.glassdoor.com/partner/jobListing.htm?pos=219&ao=1136043&s=58&guid=0000018a91388d11a7a56a5e26bdc671&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_667723d4&cb=1694653531170&jobListingId=1008853690829&jrtk=5-yul1-3-1ha8jhguej3vt801-1ha8jh3a0ikdt800
Shure,Application Software Development Intern,Irvine CA,$26.00 - $44.00 Per Hour (Employer est.),6d,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=0000018a913818ee9f266c46b6195078&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c703d91d&cb=1694653495721&jobListingId=1008857791015&jrtk=5-yul1-3-1ha8jgea2j4qd801-1ha8jg693jgbq800
Turion Space,Software Intern,Irvine CA,$70K - $85K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=0000018a913818ee9f266c46b6195078&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1c9257e0&cb=1694653498154&jobListingId=1008560449374&jrtk=5-yul1-3-1ha8jggn2irqs801-1ha8jg693jgbq800
Infineon Technologies,Intern - Firmware Development Power Electronics Engineering,El Segundo CA,$32.50 Per Hour (Employer est.),7d,https://www.glassdoor.com/partner/jobListing.htm?pos=510&ao=1136043&s=58&guid=0000018a91399ac2a082f9da1b20b003&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ab1e0994&cb=1694653593387&jobListingId=1008853860643&jrtk=5-yul1-3-1ha8jjdn0ikda801-1ha8jj6nrhdic800
Qualcomm,Software Engineering Internship - Summer 2024,San Diego CA,$83K - $129K (Glassdoor est.),1d,https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=1136043&s=58&guid=0000018a9136ec03a38b22f8f3620db6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_24c9f69d&cb=1694653433787&jobListingId=1008864645106&jrtk=5-yul1-3-1ha8jehrnk7da801-1ha8jdr1qk7ab800
Skyworks,Software Engineering Summer Intern - 2024,Irvine CA,$22.50 - $42.00 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=0000018a9136ec03a38b22f8f3620db6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f1a02786&cb=1694653422291&jobListingId=1008799312320&jrtk=5-yul1-3-1ha8je6kaje12801-1ha8jdr1qk7ab800
ESRI Inc.,Software Development Internships,Redlands CA,$10K - $12K (Employer est.),12d,https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=1136043&s=58&guid=0000018a9136ec03a38b22f8f3620db6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_bf525e0f&cb=1694653426937&jobListingId=1008847614961&jrtk=5-yul1-3-1ha8jeb5njkud801-1ha8jdr1qk7ab800
Rocket Lab USA,Summer 2024 Internship/ Co-Op - Software,Long Beach CA,$30.00 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=202&ao=1136043&s=58&guid=0000018a91388d11a7a56a5e26bdc671&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f01ebb7f&cb=1694653520052&jobListingId=1008759473054&jrtk=5-yul1-3-1ha8jh63ci45n801-1ha8jh3a0ikdt800
SiO Digital,Web Design and Development Intern,San Diego CA,$55K - $91K (Glassdoor est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=315&ao=1136043&s=58&guid=0000018a9138e121aebc0ed132478d1a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b5345443&cb=1694653549497&jobListingId=1006337644685&jrtk=5-yul1-3-1ha8ji2onikqp801-1ha8jhoapjqto800
Tesla,Internship Frontend Software Engineer UI Design (Winter/Spring 2024),Hawthorne CA,$124K - $192K (Glassdoor est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=312&ao=1136043&s=58&guid=0000018a9138e121aebc0ed132478d1a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5af499be&cb=1694653547071&jobListingId=1008789108472&jrtk=5-yul1-3-1ha8ji0eik7d2801-1ha8jhoapjqto800
Noveda Technologies Inc,Software Engineering & Application Development Internship Program for Students,San Diego CA,$75K - $110K (Glassdoor est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=318&ao=1136043&s=58&guid=0000018a9138e121aebc0ed132478d1a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_de554b75&cb=1694653551615&jobListingId=1005663870962&jrtk=5-yul1-3-1ha8ji4tck7ck801-1ha8jhoapjqto800
Quartus Engineering,Software Engineer Co-op or Intern: Spring/Summer 2024 (Full-Time) - San Diego - 233QE,San Diego CA,$24.00 - $28.00 Per Hour (Employer est.),24h,
Tesla,Internship Digital Design Developer Design Studio (Winter/Spring 2024),Hawthorne CA,$100K - $156K (Glassdoor est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=220&ao=1136043&s=58&guid=0000018a9137609ba77ca6304d4cfae0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_825c98e8&cb=1694653455923&jobListingId=1008806286946&jrtk=5-yul1-3-1ha8jf7f22gtq001-1ha8jeo7dj4rj804
ServiceNow,Digital Technology (DT) - Software Engineer Internships - Summer 2024,San Diego CA,$47.82 - $50.02 Per Hour (Employer est.),12d,https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=1136043&s=58&guid=0000018a9136ec03a38b22f8f3620db6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_659313e1&cb=1694653430363&jobListingId=1008844743555&jrtk=5-yul1-3-1ha8jeefq2grc001-1ha8jdr1qk7ab800
Honeybee Robotics,Summer 2024 Software Engineering Internship,Altadena CA,$30.00 - $32.00 Per Hour (Employer est.),24h,
Infineon Technologies,Intern - Firmware Development Power Electronics Engineering,El Segundo CA,$32.50 Per Hour (Employer est.),7d,https://www.glassdoor.com/partner/jobListing.htm?pos=530&ao=1136043&s=58&guid=0000018a913c9d86a88eaf491c53cbdd&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_060c9b8d&cb=1694653806237&jobListingId=1008853860643&jrtk=5-yul1-3-1ha8jpti7jqvn801-1ha8jp7df2gu9000
Relaymile,Frontend Software Engineer Internship,Los Angeles CA,$98K - $158K (Glassdoor est.),30d+,
ESRI Inc.,Information Technology - Application Developer Internships,Redlands CA,$30.00 - $34.00 Per Hour (Employer est.),8d,https://www.glassdoor.com/partner/jobListing.htm?pos=226&ao=1136043&s=58&guid=0000018a913b9cfba84871bf03b4a84b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2dd17d7e&cb=1694653735666&jobListingId=1008853690829&jrtk=5-yul1-3-1ha8jnol6ih3t801-1ha8jn798jqtk800
Relativity Space Intern Job Board,Software Engineer Intern-Summer 2024,Long Beach CA,$28.00 - $36.00 Per Hour (Employer est.),20d,https://www.glassdoor.com/partner/jobListing.htm?pos=210&ao=1136043&s=58&guid=0000018a913b9cfba84871bf03b4a84b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f62163da&cb=1694653725753&jobListingId=1008832289017&jrtk=5-yul1-3-1ha8jnevtk7d2801-1ha8jn798jqtk800
ESRI Inc.,ArcGIS Software Products Internships,Redlands CA,$30.00 - $35.50 Per Hour (Employer est.),12d,https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=1136043&s=58&guid=0000018a913b3c489de3e2012ebada68&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ab17f4ff&cb=1694653713178&jobListingId=1008847614962&jrtk=5-yul1-3-1ha8jn2mok6os801-1ha8jmf3si6mj800
Comentum Corp,Intern Developer: Web Application / Mobile App,San Diego CA,,30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=321&ao=1136043&s=58&guid=0000018a913beddab460f0f1fdd4bced&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_935d25ff&cb=1694653754054&jobListingId=1005868193108&jrtk=5-yul1-3-1ha8joajsk7eq801-1ha8jnrg6k7t9803
Shure,Application Software Development Intern,Irvine CA,$26.00 - $44.00 Per Hour (Employer est.),6d,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=0000018a913b3c489de3e2012ebada68&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4b0dfeec&cb=1694653700448&jobListingId=1008857791015&jrtk=5-yul1-3-1ha8jmm83k7dh801-1ha8jmf3si6mj800
Tesla,Internship Frontend Software Engineer UI Design (Winter/Spring 2024),Hawthorne CA,$124K - $192K (Glassdoor est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=220&ao=1136043&s=58&guid=0000018a913b9cfba84871bf03b4a84b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_9d3a1719&cb=1694653732237&jobListingId=1008789108472&jrtk=5-yul1-3-1ha8jnl9sjqv2801-1ha8jn798jqtk800
PIMCO,2024 Summer Intern - Technology Analyst Software Engineering US,Newport Beach CA,$14K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=1136043&s=58&guid=0000018a913b3c489de3e2012ebada68&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3882ee15&cb=1694653715034&jobListingId=1008646590213&jrtk=5-yul1-3-1ha8jn4h0jqsu801-1ha8jmf3si6mj800
Forward Slope Inc.,Software Engineering Intern,San Diego CA,$20.00 - $25.00 Per Hour (Employer est.),1d,
Skyworks,Software Engineering Summer Intern - 2024,Irvine CA,$22.50 - $42.00 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=0000018a913b3c489de3e2012ebada68&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f9a5736b&cb=1694653703983&jobListingId=1008799312320&jrtk=5-yul1-3-1ha8jmpmek5ok801-1ha8jmf3si6mj800
Qualcomm,Software Engineering Internship - Summer 2024,San Diego CA,$83K - $129K (Glassdoor est.),1d,https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=1136043&s=58&guid=0000018a913a9c329c264ea489b3be02&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f77df8ff&cb=1694653669772&jobListingId=1008864645106&jrtk=5-yul1-3-1ha8jloa0ih1h801-1ha8jl73a2bcf000
Relativity Space Intern Job Board,Test Engineer Intern - Electrical and Software [Long Beach] - Summer 2024,Long Beach CA,$28.00 - $36.00 Per Hour (Employer est.),19d,https://www.glassdoor.com/partner/jobListing.htm?pos=413&ao=1136043&s=58&guid=0000018a913c472ca6758d9134487ca7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_25889ee1&cb=1694653771437&jobListingId=1008832698767&jrtk=5-yul1-3-1ha8jorjii45c801-1ha8johqqjqtk800
ESRI Inc.,Software Development Internships,Redlands CA,$10K - $12K (Employer est.),12d,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=0000018a913b3c489de3e2012ebada68&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a7b48e85&cb=1694653705629&jobListingId=1008847614961&jrtk=5-yul1-3-1ha8jmralje1i801-1ha8jmf3si6mj800
Melissa Global Intelligence,On-Site Software Engineer Intern,Rancho Santa Margarita CA,$40K - $80K (Employer est.),8d,
Advanced Sterilization Products,Software Engineering Intern,Irvine CA,$56K - $105K (Employer est.),19d,https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=1136043&s=58&guid=0000018a913b3c489de3e2012ebada68&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f038b5cc&cb=1694653706774&jobListingId=1008834111497&jrtk=5-yul1-3-1ha8jmsei2b5d001-1ha8jmf3si6mj800
Epsilon Systems Inc,Software Engineering Intern - (TAF),San Diego CA,$20.00 - $25.00 Per Hour (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=209&ao=1136043&s=58&guid=0000018a913b9cfba84871bf03b4a84b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_62e98b68&cb=1694653725138&jobListingId=1008867947097&jrtk=5-yul1-3-1ha8jnecfk7d2801-1ha8jn798jqtk800
Broadata Communications,Part Time Intern in Embedded Software Engineering,Torrance CA,$20.00 - $24.00 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=514&ao=1136043&s=58&guid=0000018a913c9d86a88eaf491c53cbdd&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ab7215e7&cb=1694653794821&jobListingId=1008654832170&jrtk=5-yul1-3-1ha8jpied2do4001-1ha8jp7df2gu9000
Lunar Digital Assets,Front End UI/UX Development Intern,Los Angeles CA,,30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=317&ao=1136043&s=58&guid=0000018a913beddab460f0f1fdd4bced&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6ea24359&cb=1694653751736&jobListingId=1008116975762&jrtk=5-yul1-3-1ha8jo8b5k7em801-1ha8jnrg6k7t9803
Noveda Technologies Inc,Software Engineering & Application Development Internship Program for Students,San Diego CA,$75K - $110K (Glassdoor est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=309&ao=1136043&s=58&guid=0000018a913beddab460f0f1fdd4bced&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1372e4ae&cb=1694653746555&jobListingId=1005663870962&jrtk=5-yul1-3-1ha8jo39ej4pt801-1ha8jnrg6k7t9803
Quartus Engineering,Software Engineer Co-op or Intern: Spring/Summer 2024 (Full-Time) - San Diego - 233QE,San Diego CA,$24.00 - $28.00 Per Hour (Employer est.),24h,
Turion Space,Software Intern,Irvine CA,$70K - $85K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=0000018a913b3c489de3e2012ebada68&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_95d6d157&cb=1694653701076&jobListingId=1008560449374&jrtk=5-yul1-3-1ha8jmms0je22801-1ha8jmf3si6mj800
Tesla,Internship Digital Design Developer Design Studio (Winter/Spring 2024),Hawthorne CA,$100K - $156K (Glassdoor est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=409&ao=1136043&s=58&guid=0000018a913c472ca6758d9134487ca7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_751c752e&cb=1694653768930&jobListingId=1008806286946&jrtk=5-yul1-3-1ha8jop3ck2nv801-1ha8johqqjqtk800
RipeMetrics,Software Marketing Internship,San Diego CA,$62K - $107K (Glassdoor est.),30d+,
Numecent Inc.,Software Development Internship,Irvine CA,$18.00 - $20.00 Per Hour (Employer est.),30d+,
SiO Digital,Web Design and Development Intern,San Diego CA,$55K - $91K (Glassdoor est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=326&ao=1136043&s=58&guid=0000018a913beddab460f0f1fdd4bced&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0c7164d3&cb=1694653756938&jobListingId=1006337644685&jrtk=5-yul1-3-1ha8jode62gu2001-1ha8jnrg6k7t9803
PRICE WATERHOUSE COOPERS,Consulting – Products & Solutions – Software Engineering Intern - Summer 2024,San Diego CA,$75K - $106K (Glassdoor est.),18d,https://www.glassdoor.com/partner/jobListing.htm?pos=604&ao=1136043&s=58&guid=0000018a913cf86b852a1eadebd9cf39&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_36fc1e94&cb=1694653810629&jobListingId=1008834913825&jrtk=5-yul1-3-1ha8jq1rfipar801-1ha8jpu4t2gu9000
FYI,Software QA Testing Internship,Los Angeles CA,$16.78 Per Hour (Employer est.),6d,
Honeybee Robotics,Summer 2024 Software Engineering Internship,Altadena CA,$30.00 - $32.00 Per Hour (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=0000018a913a9c329c264ea489b3be02&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_49ae8a7a&cb=1694653660744&jobListingId=1008868601552&jrtk=5-yul1-3-1ha8jlfelk7co801-1ha8jl73a2bcf000
AeroVironment,Engineering Intern Software,Simi Valley CA,$21.00 - $31.00 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=227&ao=1136043&s=58&guid=0000018a913b9cfba84871bf03b4a84b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5c358438&cb=1694653736247&jobListingId=1008290530573&jrtk=5-yul1-3-1ha8jnp7pjgaq801-1ha8jn798jqtk800
Rocket Lab USA,Summer 2024 Internship/ Co-Op - Software,Long Beach CA,$30.00 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=218&ao=1136043&s=58&guid=0000018a913b9cfba84871bf03b4a84b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5eb6fd03&cb=1694653731050&jobListingId=1008759473054&jrtk=5-yul1-3-1ha8jnk4dikda801-1ha8jn798jqtk800
DoorDash,Software Engineer Intern (Summer 2024),Los Angeles CA,,26d,https://www.glassdoor.com/partner/jobListing.htm?pos=527&ao=1136043&s=58&guid=0000018a913c9d86a88eaf491c53cbdd&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3386b244&cb=1694653804492&jobListingId=1008820206253&jrtk=5-yul1-3-1ha8jprs7jgaq801-1ha8jp7df2gu9000
The Trade Desk,2024 Software Engineering Intern - North America,Irvine CA,$124K - $187K (Glassdoor est.),22d,https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=1136043&s=58&guid=0000018a913b3c489de3e2012ebada68&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e6e53456&cb=1694653708498&jobListingId=1008827805428&jrtk=5-yul1-3-1ha8jmu4bje2h801-1ha8jmf3si6mj800
Futronics (NA) Corporation,Software Engineering Intern,Pasadena CA,$71K - $107K (Glassdoor est.),30d+,
ServiceNow,Digital Technology (DT) - Software Engineer Internships - Summer 2024,San Diego CA,$47.82 - $50.02 Per Hour (Employer est.),12d,https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=1136043&s=58&guid=0000018a913b3c489de3e2012ebada68&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b8bdd272&cb=1694653709263&jobListingId=1008844743555&jrtk=5-yul1-3-1ha8jmup0jgb7801-1ha8jmf3si6mj800
Skyworks,Software Engineering Summer Intern - 2024,Irvine CA,$22.50 - $42.00 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=0000018a91df5729812eae46378cd83e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f2dd87d8&cb=1694664458554&jobListingId=1008799312320&jrtk=5-yul1-3-1ha8tv07bk7gi801-1ha8tulr1hdj5800
Relaymile,Frontend Software Engineer Internship,Los Angeles CA,$98K - $158K (Glassdoor est.),30d+,
ESRI Inc.,Software Development Internships,Redlands CA,$10K - $12K (Employer est.),12d,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=0000018a91df5729812eae46378cd83e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_79e7ef48&cb=1694664466849&jobListingId=1008847614961&jrtk=5-yul1-3-1ha8tv8arjgab801-1ha8tulr1hdj5800
Relativity Space Intern Job Board,Software Engineer Intern-Summer 2024,Long Beach CA,$28.00 - $36.00 Per Hour (Employer est.),20d,https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=1136043&s=58&guid=0000018a91df5729812eae46378cd83e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e8722797&cb=1694664472186&jobListingId=1008832289017&jrtk=5-yul1-3-1ha8tvdh0k5or801-1ha8tulr1hdj5800
ServiceNow,Digital Technology (DT) - Software Engineer Internships - Summer 2024,San Diego CA,$47.82 - $50.02 Per Hour (Employer est.),13d,https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=1136043&s=58&guid=0000018a91df5729812eae46378cd83e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_19920c3c&cb=1694664473276&jobListingId=1008844743555&jrtk=5-yul1-3-1ha8tvejuih0t801-1ha8tulr1hdj5800
Honeybee Robotics,Summer 2024 Software Engineering Internship,Altadena CA,$30.00 - $32.00 Per Hour (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=1136043&s=58&guid=0000018a91df5729812eae46378cd83e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_96b9c78d&cb=1694664473898&jobListingId=1008868601552&jrtk=5-yul1-3-1ha8tvf6sk5pj801-1ha8tulr1hdj5800
Lunar Digital Assets,Front End UI/UX Development Intern,Los Angeles CA,,30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=1136043&s=58&guid=0000018a91df5729812eae46378cd83e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_606fe082&cb=1694664476644&jobListingId=1008116975762&jrtk=5-yul1-3-1ha8tvht7ir3r801-1ha8tulr1hdj5800
PIMCO,2024 Summer Intern - Technology Analyst Software Engineering US,Newport Beach CA,$14K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=201&ao=1136043&s=58&guid=0000018a91dfdba2a24b394294edef32&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_12877740&cb=1694664483929&jobListingId=1008646590213&jrtk=5-yul1-3-1ha8tvp0airqs801-1ha8tvmv4jjh1800
Tesla,Internship Digital Design Developer Design Studio (Winter/Spring 2024),Hawthorne CA,$100K - $156K (Glassdoor est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=214&ao=1136043&s=58&guid=0000018a91dfdba2a24b394294edef32&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f8dc4cd8&cb=1694664492784&jobListingId=1008806286946&jrtk=5-yul1-3-1ha8u01lf2ccd001-1ha8tvmv4jjh1800
Tencent,Game Research & Development Intern Engine Research,Los Angeles CA,$24.80 - $57.69 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=223&ao=1136043&s=58&guid=0000018a91dfdba2a24b394294edef32&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6a368610&cb=1694664500004&jobListingId=1008596704133&jrtk=5-yul1-3-1ha8u08n0jqvg801-1ha8tvmv4jjh1800
Relativity Space Intern Job Board,Test Engineer Intern - Electrical and Software [Long Beach] - Summer 2024,Long Beach CA,$28.00 - $36.00 Per Hour (Employer est.),20d,https://www.glassdoor.com/partner/jobListing.htm?pos=227&ao=1136043&s=58&guid=0000018a91dfdba2a24b394294edef32&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f2b8b01d&cb=1694664502297&jobListingId=1008832698767&jrtk=5-yul1-3-1ha8u0av0i45n801-1ha8tvmv4jjh1800
Broadata Communications,Part Time Intern in Embedded Software Engineering,Torrance CA,$20.00 - $24.00 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=228&ao=1136043&s=58&guid=0000018a91dfdba2a24b394294edef32&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0c83d5a5&cb=1694664502978&jobListingId=1008654832170&jrtk=5-yul1-3-1ha8u0bjq2b58001-1ha8tvmv4jjh1800
DoorDash,Software Engineer Intern (Summer 2024),Los Angeles CA,,26d,https://www.glassdoor.com/partner/jobListing.htm?pos=313&ao=1136043&s=58&guid=0000018a91e037a4b736c3269279022f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f545339b&cb=1694664517035&jobListingId=1008820206253&jrtk=5-yul1-3-1ha8u0pb4k7gn801-1ha8u0duqjjh1800
PRICE WATERHOUSE COOPERS,Consulting – Products & Solutions – Software Engineering Intern - Summer 2024,San Diego CA,$75K - $106K (Glassdoor est.),18d,https://www.glassdoor.com/partner/jobListing.htm?pos=322&ao=1136043&s=58&guid=0000018a91e037a4b736c3269279022f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0ee7a55c&cb=1694664523529&jobListingId=1008834913825&jrtk=5-yul1-3-1ha8u0vlojqtj801-1ha8u0duqjjh1800
Shure,Application Software Development Intern,Irvine CA,$26.00 - $44.00 Per Hour (Employer est.),6d,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=0000018a91e0af67abeb11187a602c8b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0d892102&cb=1694664543681&jobListingId=1008857791015&jrtk=5-yul1-3-1ha8u1jc6k7fj801-1ha8u1bsf2hpn000
